Equipo / Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22
3 de Febrero,11,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Cerro Porteño,9,9,6,8,7,8,9,7,6,4,6,3,3,3,3,3,2,2,2,2,2,2
Deportivo Capiatá,7,2,5,4,4,4,5,6,7,7,7,7,6,6,6,7,7,9,9,10,11,11
Deportivo Santaní,4,6,8,9,10,10,11,11,11,11,11,11,8,9,9,10,11,11,10,9,9,9
General Díaz,7,11,11,10,11,12,10,10,10,9,10,10,11,10,10,8,8,7,7,7,7,7
Guaraní,1,5,3,6,8,7,7,9,9,10,8,9,10,8,8,9,9,8,8,8,8,8
Independiente (CG),9,4,4,3,3,5,6,4,5,3,5,6,7,7,7,5,6,6,5,5,5,5
Libertad,5,3,1,2,2,3,4,2,3,5,3,5,4,4,4,4,4,4,4,4,4,3
Nacional,2,8,7,5,5,2,2,3,1,2,2,2,2,2,2,2,3,3,3,3,3,4
Olimpia,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Sol de América,12,7,9,7,6,6,3,5,4,6,4,4,5,5,5,6,5,5,6,6,6,6
Sportivo Luqueño,5,12,12,12,9,9,8,8,8,8,9,8,9,11,11,11,10,10,11,11,10,10
