Equipo\Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22
Olimpia,8,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cerro Porteño,2,7,4,2,1,2,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
Libertad,12,8,9,10,8,7,9,10,8,6,5,7,3,3,3,3,3,3,3,3,3,3
Guaraní,10,5,3,1,3,3,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4
Sol de América,1,4,2,5,7,5,6,7,6,7,9,9,9,9,10,10,8,8,8,7,7,9
River Plate,10,6,6,3,5,6,5,5,5,6,6,6,8,8,6,7,7,6,6,6,6,6
Nacional,8,12,12,12,11,11,11,11,11,11,11,11,11,10,9,9,10,10,10,9,9,10
San Lorenzo,2,8,5,6,4,4,2,2,2,4,4,5,6,6,7,8,9,9,9,10,10,7
Sportivo Luqueño,4,10,11,9,9,10,10,6,9,9,8,8,7,7,8,5,6,5,5,5,5,5
General Díaz,4,1,8,8,9,9,8,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11
Deportivo Capiatá,6,2,6,7,6,8,7,8,7,5,7,4,5,5,5,6,5,7,7,8,8,8
Deportivo Santaní,6,11,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
